tem,ttem,num,out,gf,gs,gt,gfor
46.18,43.6,0,-4,19.34,19.48,22.28,21.17
46.18,43.6,1,-4,19.34,19.42,22.25,21.17
46.13,43.6,2,-4,19.34,19.42,22.25,21.17
46.18,43.6,3,-4,19.25,19.42,22.25,21.13
46.17,44,4,-5,19.25,19.48,22.24,21.13
46.18,44,5,-5,19.25,19.48,22.24,21.13
46.03,44,6,-5,19.17,19.48,22.24,21.11
46.18,44,7,-5,19.17,19.47,22.24,21.11
46.18,44,8,-5,19.17,19.47,22.24,21.11
46.18,44,9,-5,19.34,19.47,22.24,21.13
46.17,44,10,-5,19.34,19.39,22.81,21.13
46.17,44,11,-5,19.34,19.39,22.81,21.13
46.04,44,12,-5,19.34,19.39,22.81,21.13
46.18,44,13,-5,19.34,19.41,22.33,21.13
46.13,44,14,-5,19.34,19.41,22.33,21.13
46.32,44,15,-5,19.36,19.41,22.33,21.09
46.03,44,16,-5,19.36,19.31,22.27,21.09
46.03,44,17,-5,19.36,19.31,22.27,21.09
46.18,44,18,-5,19.39,19.31,22.27,21.06
46.1,44.4,19,-6,19.39,19.3,22.17,21.06
46.18,44.4,20,-6,19.39,19.3,22.17,21.06
46.18,44.4,21,-6,19.37,19.3,22.17,21.07
46.18,44.4,22,-6,19.37,19.37,22.17,21.07
46.03,44.4,23,-6,19.37,19.37,22.17,21.07
46.18,44.4,24,-6,19.46,19.37,22.17,21.03
48.09,46.4,25,-6,19.46,19.28,22.18,21.03
45.49,46.4,26,-6,19.46,19.28,22.18,21.03
47.78,46.4,27,-6,19.43,19.28,22.18,21.05
45.59,47,28,-5,19.43,19.21,22.1,21.05
49.26,47,29,-5,19.43,19.21,22.1,21.05
45.88,47,30,-5,19.39,19.21,22.1,21.02
48.24,47,31,-5,19.39,19.21,22.21,21.02
46.18,47,32,-5,19.39,19.21,22.21,21.02
47.5,47,33,-5,19.31,19.21,22.21,21.03
46.76,47,34,-5,19.31,19.23,22.2,21.03
49.12,47,35,-5,19.31,19.23,22.2,21.03
46.18,47,36,-5,19.37,19.23,22.2,21.06
48.55,47,37,-5,19.37,19.23,22.25,21.06
46.55,47,38,-5,19.37,19.23,22.25,21.06
47.21,47,39,-5,19.36,19.23,22.25,21.09
48.09,47,40,-5,19.36,19.18,22.23,21.09
46.76,47,41,-5,19.36,19.18,22.23,21.09
47.5,47,42,-5,19.41,19.18,22.23,21.05
47.52,46.6,43,-4,19.41,19.17,22.21,21.05
47.5,46.6,44,-4,19.41,19.17,22.21,21.05
47.5,46.6,45,-4,19.29,19.17,22.21,21.11
